the_geom,si_si_s,field_1,pol_stn,totarea,nm_pol,murder,rape,gangrap,robbery,theft,asltmds,sxlhrsm,distrct,inspsnc,insp__m,in__w_f,cartodb_id,si_si_m,si_si_f,ai_si_s,ai_si_m,ai_si_f,hc_snc,hc_wrkm,hc_wrkf,cnst_sn,cnst_wm,cnst_wf,tl_shrt,totcrm,tsnc,twrk,long,lat
0101000020E61000006DCA15DEE54E5340AEB6627FD98D3C40,8,173,POLICE STATION-GREATER KAILASH I,3793564.84265,GREATER KAILASH,0,2,0,12,164,6,4,North,3,2,0,174,6,1,8,7,3,48,29,1,99,99,8,63,188,170,156,77.23278,28.5541
0101000020E61000008E40BCAE5F4453400C76C3B645A13C40,8,174,POLICE STATION-VIKASPURI,1247661.87373,VIKAS PURI,2,3,1,14,204,7,1,New Delhi,3,3,0,175,4,1,10,6,2,40,25,0,70,70,16,1,232,132,127,77.06834,28.62997
0101000020E6100000878A71FE26445340B8533A58FF9F3C40,11,176,POLICE STATION-UTTAM NAGAR,2747375.47915,UTTAM NAGAR,2,10,1,81,1042,23,21,Outer,2,2,0,177,10,2,10,5,2,50,29,1,133,133,10,50,1180,227,194,77.06488,28.62499
0101000020E61000008577B988EF4E53408DB454DE8E903C40,9,180,POLICE STATION-DEFENCE COLONY,2480276.53415,DEFENCE COLONY,3,14,1,25,158,16,10,North West,3,2,0,181,10,1,13,14,1,42,19,2,110,110,11,39,227,187,170,77.23337,28.56468
0101000020E6100000143FC6DCB55253400E10CCD1E38F3C40,5,181,POLICE STATION-JAMIA NAGAR,7880690.98096,JAMIA NAGAR,9,23,4,20,261,23,5,South East,3,2,0,182,10,1,12,9,0,60,44,1,84,84,10,24,345,169,161,77.29235,28.56207
0101000020E6100000884160E5D04E5340B54AB0389CA93C40,6,185,POLICE STATION-KASHMERE GATE,1627909.97434,KASHMERE GATE,0,9,3,17,340,17,12,South West,3,2,0,186,7,0,14,14,2,25,32,0,85,85,10,36,398,145,152,77.2315,28.66254
0101000020E6100000A25D85949F525340D50968226C803C40,16,188,POLICE STATION PRAHLADPUR,3852127.69559,PULPRAHLAD PUR,2,15,1,41,389,24,9,East,3,2,0,189,10,2,6,4,1,50,37,1,99,99,10,49,481,183,166,77.29099,28.50165
0101000020E6100000EEB1F4A10B525340D1CB28965B8A3C40,13,190,POLICE STATION-SARITA VIHAR,6171102.99116,SARITA VIHAR,1,12,0,12,211,8,1,Central,2,3,0,191,10,1,9,8,0,39,32,0,108,108,9,32,245,172,171,77.28196,28.54046
0101000020E61000001C5F7B6649445340F3328AE596AE3C40,12,192,POLICE STATION-NANGLOI,2253261.51423,NANGLOI,3,13,5,58,838,23,15,West,3,2,0,193,6,2,21,6,1,57,25,1,126,126,12,79,955,234,181,77.06698,28.68199
0101000020E6100000BB270F0BB54C53405778978BF88E3C40,17,193,POLICE OUTPOST-SAFDARJUNG ENCLAVE,3486811.52256,SAFDARJUNG ENCLAVE,2,7,0,1,83,3,10,Central,3,2,0,194,10,3,6,12,0,58,20,0,143,143,14,79,106,237,204,77.19855,28.55848
0101000020E6100000BC79AA436E4E5340B1E1E995B2A43C40,6,194,POLICE STATION-HAUZ QAZI,3095888.32288,HAUZQAZI,1,6,0,12,431,37,4,South East,3,2,0,195,3,2,23,6,0,18,24,0,73,73,9,7,491,127,119,77.22548,28.64335
0101000020E6100000274EEE77284C53401B0DE02D90B03C40,NA,33,POLICE OUTPOST-SANGAM VIHAR,1539302.33714,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,,,77.18997,28.6897
0101000020E6100000E3FC4D2844445340CEFC6A0E10943C40,2,199,POLICE STATION-DWARKA SOUTH,30068547.981,DWARKA SOUTH,4,8,2,28,299,17,4,North,0,2,0,200,5,3,0,9,1,55,22,1,126,126,17,40,362,187,186,77.06666,28.57837
0101000020E6100000637FD93D7946534007B13385CEAB3C40,10,200,POLICE STATION-PASCHIM VIHAR,3794663.79732,PASCHIM VIHAR,2,13,0,48,526,13,30,East,3,1,0,201,6,2,11,7,1,56,33,4,111,111,12,58,632,221,177,77.10115,28.67112
0101000020E61000004E9CDCEF50445340E6797077D69E3C40,6,201,POLICE STATION-BINDAPUR,2747375.47915,BINDAPUR,4,4,1,64,417,11,8,North West,3,2,0,202,5,2,12,9,1,63,24,2,106,106,12,43,509,198,163,77.06744,28.62046
0101000020E6100000691D554D104F5340660FB402439E3C40,12,203,POLICE STATION-TILAK MARG,3748441.99855,TILAK MARG,8,19,1,36,294,16,7,Outer,3,2,0,204,12,2,17,8,1,45,22,0,116,116,10,74,381,200,173,77.23537,28.61821
0101000020E61000008126C286A74753405604FF5BC9A63C40,16,204,POLICE STATION-RAJOURI GARDEN,1798942.912,RAJOURI GARDEN,1,7,0,37,567,20,4,East,3,2,0,205,8,1,20,12,1,57,34,1,152,152,12,81,636,252,223,77.1196,28.65151
0101000020E610000053D0ED258D4F5340D105F52D73823C40,14,206,POLICE STATION-SANGAM VIHAR,3105723.33007,SANGAM VIHAR,3,6,0,17,179,8,2,Central,2,2,0,207,13,2,7,8,0,42,34,0,125,125,15,17,215,192,199,77.24299,28.50957
0101000020E6100000AEB14B546F53534033E197FA799B3C40,8,207,POLICE STATION-MAYUR VIHAR EAST,2111658.82806,MAYURVIHAR,0,7,0,13,201,10,14,South,2,2,0,208,7,1,4,8,0,29,22,0,101,101,4,24,245,158,145,77.30367,28.60733
0101000020E610000029965B5A0D455340018750A566BF3C40,16,210,POLICE STATION-SAHABAD DAIRY,49822649.5284,SHAHBAD DAIRY,0,8,0,18,315,5,6,Central,3,3,0,211,9,2,5,9,2,57,25,2,135,135,8,76,352,222,195,77.07894,28.74766
0101000020E610000057CF49EF1B515340A913D044D8A83C40,8,213,POLICE STATION-GANDHI NAGAR,1205110.77596,GANDHI NAGAR,1,2,0,32,313,5,1,North,3,2,0,214,8,2,9,2,1,46,22,0,122,122,8,66,354,189,167,77.26733,28.65955
0101000020E61000002849D74CBE435340B858518369903C40,9,215,POLICE STATION-DWARKA SECTOR 23,30068547.981,DWARKA SEC-23,4,1,0,28,437,4,1,Central,2,1,1,216,5,2,10,8,2,43,22,1,138,138,12,70,475,203,192,77.05849,28.56411
0101000020E6100000E0A128D0274A53403DD52137C3A53C40,16,216,POLICE STATION-RANJIT NAGAR,2003783.7619,RANJIT NAGAR,3,9,0,38,324,16,13,East,3,2,0,217,8,1,6,8,0,49,24,0,116,116,8,56,403,203,167,77.15868,28.64751
0101000020E6100000EA3E00A94D4253408FC2F5285CA73C40,19,217,POLICE STATION-RANHOLA,11283823.514,RANHOLA,3,15,2,45,319,47,33,East,3,2,0,218,4,2,6,9,0,52,24,2,119,119,13,61,464,232,175,77.03599,28.65375
0101000020E6100000545227A0894E534081785DBF60873C40,9,218,POLICE STATION-SAKET,2732945.71798,SAKET,2,0,0,2,126,4,0,Central,3,3,0,219,10,2,3,8,1,57,25,1,141,141,11,60,134,213,202,77.22715,28.52882
0101000020E6100000F7065F984C5153402406819543A33C40,10,219,POLICE STATION-SHAKARPUR,3019451.76644,SHAKARPUR,4,2,0,38,266,13,4,Central,3,2,0,220,13,2,5,11,1,45,35,1,127,127,8,8,327,194,200,77.2703,28.63775
